topology,policy,injection_rate,power_cap,run_name,converged,latency_avg,control_latency_avg,batch_latency_avg,control_p99,batch_p99,control_throughput,batch_throughput,power_avg,power_peak,freq_avg,freq_min,throughput,elapsed_time,error,batch_nlat_p99,batch_p99_avg,batch_p99_csv,batch_plat_p99,batch_throughput_csv,control_nlat_p99,control_p99_avg,control_p99_csv,control_plat_p99,control_throughput_csv,exit_code,exp_id,summary_batch_p99,summary_control_p99,summary_policy,summary_power_cap,summary_total_power_avg
flatfly,uniform,0.6,0.7,flatfly_uniform_inj0.6_cap0.7,True,24.2569,23.8805,24.2569,155,193,0.180277,0.419696,0.771417875,0.816261,0.8339130000000003,0.833913,,84.32811212539673,,56,43.25,64,56,20.139075000000002,56,42.5,65,56,8.649799999999999,255,19,56,56,uniform,0.7,0.771418
flatfly,uniform,0.6,0.8,flatfly_uniform_inj0.6_cap0.8,True,20.1659,19.8103,20.1659,82,90,0.18047,0.419865,0.8077411666666667,0.839936,0.9677819999999998,0.967782,,65.38869595527649,,39,31.0,40,40,17.90405,40,30.333333333333332,41,40,7.693216666666667,255,20,39,40,uniform,0.8,0.807741
flatfly,uniform,0.6,1.0,flatfly_uniform_inj0.6_cap1.0,True,19.5078,19.1445,19.5078,82,80,0.180478,0.419878,0.8153371666666667,0.863056,1.0,1.0,,67.21788430213928,,37,29.833333333333332,37,38,17.904466666666668,37,29.0,37,37,7.6934666666666685,255,21,37,37,uniform,1,0.815337
mesh,hw_reactive,0.2,0.3,mesh_hw_reactive_inj0.2_cap0.3,True,62.9157,62.8998,62.9157,295,294,0.0598133,0.1403,2.014121428571429,2.71251,0.5947481406249999,0.5,,51.318857192993164,,161,112.57142857142857,162,161,6.407457142857142,162,114.0,164,162,2.7359999999999998,255,106,161,162,hw_reactive,0.3,2.01412
mesh,hw_reactive,0.2,0.4,mesh_hw_reactive_inj0.2_cap0.4,True,62.9157,62.8998,62.9157,295,294,0.0598133,0.1403,2.014121428571429,2.71251,0.5947481406249999,0.5,,51.73683285713196,,161,112.57142857142857,162,161,6.407457142857142,162,114.0,164,162,2.7359999999999998,255,107,161,162,hw_reactive,0.4,2.01412
mesh,hw_reactive,0.2,0.5,mesh_hw_reactive_inj0.2_cap0.5,True,62.9157,62.8998,62.9157,295,294,0.0598133,0.1403,2.014121428571429,2.71251,0.5947481406249999,0.5,,51.79602003097534,,161,112.57142857142857,162,161,6.407457142857142,162,114.0,164,162,2.7359999999999998,255,108,161,162,hw_reactive,0.5,2.01412
mesh,hw_reactive,0.2,0.6,mesh_hw_reactive_inj0.2_cap0.6,True,62.9157,62.8998,62.9157,295,294,0.0598133,0.1403,2.014121428571429,2.71251,0.5947481406249999,0.5,,52.770102977752686,,161,112.57142857142857,162,161,6.407457142857142,162,114.0,164,162,2.7359999999999998,255,109,161,162,hw_reactive,0.6,2.01412
mesh,hw_reactive,0.2,0.7,mesh_hw_reactive_inj0.2_cap0.7,True,62.9157,62.8998,62.9157,295,294,0.0598133,0.1403,2.014121428571429,2.71251,0.5947481406249999,0.5,,52.21961307525635,,161,112.57142857142857,162,161,6.407457142857142,162,114.0,164,162,2.7359999999999998,255,110,161,162,hw_reactive,0.7,2.01412
mesh,hw_reactive,0.2,0.8,mesh_hw_reactive_inj0.2_cap0.8,True,62.9157,62.8998,62.9157,295,294,0.0598133,0.1403,2.014121428571429,2.71251,0.5947481406249999,0.5,,51.81192708015442,,161,112.57142857142857,162,161,6.407457142857142,162,114.0,164,162,2.7359999999999998,255,111,161,162,hw_reactive,0.8,2.01412
mesh,hw_reactive,0.2,1.0,mesh_hw_reactive_inj0.2_cap1.0,True,62.9157,62.8998,62.9157,295,294,0.0598133,0.1403,2.014121428571429,2.71251,0.5947481406249999,0.5,,51.37298607826233,,161,112.57142857142857,162,161,6.407457142857142,162,114.0,164,162,2.7359999999999998,255,112,161,162,hw_reactive,1,2.01412
mesh,hw_reactive,0.4,0.3,mesh_hw_reactive_inj0.4_cap0.3,True,5606.82,,,,,,,2.188898,2.92989,0.6265398437500002,0.5,,60.730035066604614,,,1456.2,2816,,7.0955200000000005,,3259.8,8679,,4.3702,0,113,,,,,
mesh,hw_reactive,0.4,0.4,mesh_hw_reactive_inj0.4_cap0.4,True,5606.82,,,,,,,2.188898,2.92989,0.6265398437500002,0.5,,60.067543268203735,,,1456.2,2816,,7.0955200000000005,,3259.8,8679,,4.3702,0,114,,,,,
mesh,hw_reactive,0.4,0.5,mesh_hw_reactive_inj0.4_cap0.5,True,5606.82,,,,,,,2.188898,2.92989,0.6265398437500002,0.5,,59.822612047195435,,,1456.2,2816,,7.0955200000000005,,3259.8,8679,,4.3702,0,115,,,,,
mesh,hw_reactive,0.4,0.6,mesh_hw_reactive_inj0.4_cap0.6,True,5606.82,,,,,,,2.188898,2.92989,0.6265398437500002,0.5,,60.04693579673767,,,1456.2,2816,,7.0955200000000005,,3259.8,8679,,4.3702,0,116,,,,,
mesh,hw_reactive,0.4,0.7,mesh_hw_reactive_inj0.4_cap0.7,True,5606.82,,,,,,,2.188898,2.92989,0.6265398437500002,0.5,,59.32816195487976,,,1456.2,2816,,7.0955200000000005,,3259.8,8679,,4.3702,0,117,,,,,
mesh,hw_reactive,0.4,0.8,mesh_hw_reactive_inj0.4_cap0.8,True,5606.82,,,,,,,2.188898,2.92989,0.6265398437500002,0.5,,58.81386089324951,,,1456.2,2816,,7.0955200000000005,,3259.8,8679,,4.3702,0,118,,,,,
mesh,hw_reactive,0.4,1.0,mesh_hw_reactive_inj0.4_cap1.0,True,5606.82,,,,,,,2.188898,2.92989,0.6265398437500002,0.5,,58.67409706115723,,,1456.2,2816,,7.0955200000000005,,3259.8,8679,,4.3702,0,119,,,,,
mesh,hw_reactive,0.6,0.3,mesh_hw_reactive_inj0.6_cap0.3,True,8394.66,,,,,,,2.4454999999999996,3.01624,0.7124555937499999,0.576235,,44.766117095947266,,,910.0,1687,,6.684433333333335,,1202.6666666666667,2151,,3.588233333333333,0,120,,,,,
mesh,hw_reactive,0.6,0.4,mesh_hw_reactive_inj0.6_cap0.4,True,8394.66,,,,,,,2.4454999999999996,3.01624,0.7124555937499999,0.576235,,45.659725189208984,,,910.0,1687,,6.684433333333335,,1202.6666666666667,2151,,3.588233333333333,0,121,,,,,
mesh,hw_reactive,0.6,0.5,mesh_hw_reactive_inj0.6_cap0.5,True,8394.66,,,,,,,2.4454999999999996,3.01624,0.7124555937499999,0.576235,,45.399224042892456,,,910.0,1687,,6.684433333333335,,1202.6666666666667,2151,,3.588233333333333,0,122,,,,,
mesh,hw_reactive,0.6,0.6,mesh_hw_reactive_inj0.6_cap0.6,True,8394.66,,,,,,,2.4454999999999996,3.01624,0.7124555937499999,0.576235,,45.13265800476074,,,910.0,1687,,6.684433333333335,,1202.6666666666667,2151,,3.588233333333333,0,123,,,,,
